t (s);x (m);y (m)
0;0;2
0,15;1,07736345147586;4,84966925547561
0,3;2,15472690295171;7,47861351095122
0,45;3,23209035442757;9,88683276642684
0,6;4,30945380590343;12,0743270219024
0,75;5,38681725737928;14,0410962773781
0,9;6,46418070885514;15,7871405328537
1,05;7,541544160331;17,3124597883293
1,2;8,61890761180685;18,6170540438049
1,35;9,69627106328271;19,7009232992805
1,5;10,7736345147586;20,5640675547561
1,65;11,8509979662344;21,2064868102317
1,8;12,9283614177103;21,6281810657073
1,95;14,0057248691861;21,8291503211829
2,1;15,083088320662;21,8093945766586
2,25;16,1604517721378;21,5689138321342
2,4;17,2378152236137;21,1077080876098
2,55;18,3151786750896;20,4257773430854
2,7;19,3925421265654;19,523121598561
2,85;20,4699055780413;18,3997408540366
3;21,5472690295171;17,0556351095122
3,15;22,624632480993;15,4908043649878
3,3;23,7019959324688;13,7052486204635
3,45;24,7793593839447;11,6989678759391
3,6;25,8567228354206;9,47196213141471
3,75;26,9340862868964;7,02423138689032
3,9;28,0114497383723;4,35577564236593
4,05;29,0888131898481;1,46659489784153
4,2;30,166176641324;-1,64331084668285
4,35;31,2435400927998;-4,97394159120725
4,5;32,3209035442757;-8,52529733573165
